Series Name,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Literacy rate, youth total (% of people ages 15-24)",Sub-Saharan Africa,65.25750732,65.36660004,65.63687897,66.01286316,66.36425018,66.48651886,66.88478088,67.36653137,67.35056305,68.05618286,66.21408081,66.67765808,67.88407135,68.27140808,69.5643692,68.45287323,69.03594971,67.64933777,67.85809326,68.31577301,69.20703888,70.96517181,72.35260773,73.15400696,73.82434082,74.40408325,74.90617371,75.53063202,75.92826843,76.31555176
"Lower secondary completion rate, total (% of relevant age group)",Sub-Saharan Africa,23.98188019,24.33069038,24.43902969,24.92633057,25.10762978,25.9116497,26.15912056,26.40319061,26.83280945,26.98011017,27.26877975,28.54927063,30.92939949,31.56538963,32.22595978,33.32067108,34.60847855,36.03052139,37.93009949,39.0637207,40.23226166,40.89292145,41.40943909,41.95859909,42.65159988,43.31340027,43.46660995,43.91064072,44.07978821,44.3133812
"Over-age students, primary (% of enrollment)",Sub-Saharan Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",Sub-Saharan Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",Sub-Saharan Africa,..,6.187707154,6.258841873,6.385941173,6.399048968,6.464589736,6.53519547,6.538418733,6.575474796,6.723608893,6.701776721,6.715365772,7.059615102,6.976170178,6.708098933,6.611250293,6.457981045,6.156791039,5.664363988,5.9229971,6.464081123,6.32487968,6.243319026,6.1219657,6.309613038,6.31633433,6.706671476,6.785045824,6.546386205,6.43782416
"Unemployment, female (% of female labor force) (national estimate)",Sub-Saharan Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, male (% of male labor force) (modeled ILO estimate)",Sub-Saharan Africa,..,6.448506414,6.509523658,6.586661218,6.591093222,6.534485846,6.525625835,6.531288382,6.481350595,6.543896292,6.492193176,6.45596106,6.440048864,6.333301993,6.000006794,5.841811847,5.615901344,5.423715161,5.22696511,5.357408827,5.565898084,5.507232968,5.484672299,5.359813965,5.316493535,5.319119637,5.704227509,5.902503474,5.964337266,6.135878862
"Unemployment, male (% of male labor force) (national estimate)",Sub-Saharan Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",Sub-Saharan Africa,..,6.330155372,6.397544208,6.49572369,6.503247244,6.502614648,6.529044694,6.534832518,6.525460429,6.62652906,6.58953887,6.575162239,6.725891177,6.629647088,6.326173961,6.197571399,6.004441784,5.760954662,5.429357563,5.619213944,5.979664307,5.885741375,5.835354924,5.710783865,5.775528552,5.780728342,6.168991793,6.310423878,6.233853595,6.276827832
"Unemployment, total (% of total labor force) (national estimate)",Sub-Saharan Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",Sub-Saharan Africa,..,12.02392791,12.1010243,12.27732463,12.2900279,12.35683658,12.45386941,12.46667253,12.48369121,12.65973615,12.6224194,12.78531896,13.30344973,13.37071138,13.02395556,12.79466266,12.45249851,12.02205769,11.19248949,11.86972178,12.90481822,12.75890088,12.82541353,12.72830562,12.46137133,12.33716158,13.34474621,13.26927092,13.10837981,13.05248237
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",Sub-Saharan Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",Sub-Saharan Africa,..,12.00553582,12.08525265,12.26530097,12.31947731,12.30680001,12.36000355,12.39887346,12.33037469,12.4573908,12.39750876,12.50095691,12.64927415,12.68357462,11.98959652,11.78456252,11.44436236,11.12490947,10.62291736,10.87502571,11.44295465,11.34224346,11.19507447,10.82708549,10.17738695,10.13622758,10.75786079,10.9374342,11.42206187,12.15435545
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",Sub-Saharan Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Sub-Saharan Africa,..,11.9120061,11.99321289,12.16958326,12.2024675,12.22543725,12.30475345,12.33159046,12.30389743,12.45314995,12.40286526,12.53729093,12.85548753,12.90961717,12.37163501,12.15716871,11.82061047,11.45274635,10.80209631,11.20175296,11.98616894,11.85189872,11.8033969,11.55385396,11.0725739,10.99249577,11.78024893,11.85823091,12.058739,12.43860025
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",Sub-Saharan Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Access to electricity (% of population),Sudan,32.8,24.55476379,25.428442,26.30272102,27.17819595,28.05546951,28.9351368,29.81779671,30.70320702,31.58773804,23,33.33629608,34.19137955,35.02771378,35.84082031,36.62891006,37.40089035,38.16834641,38.94286346,29,40.5594101,41.42461014,42.33979034,43.29947281,44.9,49.36792374,53.04813766,56.5,59.783535,..
"Children in employment, total (% of children ages 7-14)",Sudan,..,..,..,..,..,..,..,..,..,..,19.13425,..,..,..,..,..,..,..,12.5,..,..,..,..,..,30.55503199,..,..,..,..,..
"Children out of school, primary",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2363794,2621101,2618997,2652400,2657780,2561223,2443016,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in agriculture (% of total employment) (modeled ILO estimate),Sudan,..,53.31999969,53.22000122,53.15000153,53.06999969,52.93999863,52.72999954,52.47000122,52.22000122,51.95000076,51.54999924,51.11000061,50.63999939,50.11000061,49.61999893,49.04000092,48.36999893,47.59000015,46.88000107,46.18999863,45.68000031,44.59999847,43.63999939,42.83000183,42.11000061,41.25,40.36999893,39.52000046,38.95000076,38.36999893
Employment in industry (% of total employment) (modeled ILO estimate),Sudan,..,10.82999992,10.89000034,10.90999985,10.82999992,10.86999989,11.01000023,11.25,11.27000046,11.23999977,11.32999992,11.47000027,11.68999958,11.92000008,11.89000034,12.27000046,12.76000023,13.39000034,13.93999958,14.15999985,14.22999954,15.34000015,16.05999947,16.45999908,16.62999916,17.10000038,17.40999985,17.68000031,17.22999954,16.81999969
Employment in services (% of total employment) (modeled ILO estimate),Sudan,..,35.86000061,35.88999939,35.95000076,36.09999847,36.18999863,36.27000046,36.27000046,36.50999832,36.81000137,37.11999893,37.41999817,37.66999817,37.97000122,38.49000168,38.68999863,38.86999893,39.02000046,39.18000031,39.65000153,40.09000015,40.06000137,40.29000092,40.70999908,41.25999832,41.65999985,42.22000122,42.81000137,43.83000183,44.81000137
GDP growth (annual %),Sudan,-5.470053776,7.510910626,6.577861385,4.56874919,1.006228243,5.99709232,5.919124758,10.56673631,4.308504104,3.10409568,6.345867769,6.500360421,6.427273901,7.734591717,3.883307291,7.489738142,10.064308,11.52191003,7.801963334,3.241847572,3.469317028,-1.967695859,0.5215551002,4.394695833,2.679425668,4.906041879,4.699976039,0.7678615039,-2.289949359,..
Informal employment (% of total non-agricultural employment),Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77.30999756,..,..,..,..,..,..,..,..
"Informal employment, female (% of total non-agricultural employment)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.18999863,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Sudan,..,..,..,..,..,..,..,..,..,..,61.34587097,..,..,..,..,..,..,..,53.51737976,..,..,..,..,..,..,..,..,..,60.6971817,..
"Literacy rate, youth total (% of people ages 15-24)",Sudan,..,..,..,..,..,..,..,..,..,..,78.15558624,..,..,..,..,..,..,..,65.80535126,..,..,..,..,..,..,..,..,..,73,..
"Lower secondary completion rate, total (% of relevant age group)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.13373947,..,..,51.30630875,50.46706009,50.89978027,49.74509048,57.54199982,..,..
"Over-age students, primary (% of enrollment)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.46169,..,19.16729,19.07737,19.1134,19.04731,17.90049,..,..
"Share of youth not in education, employment or training, total (% of youth population)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.81000137,..,..,..,..,..,..,..,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",Sudan,..,20.30999947,20.37000084,20.42000008,20.46999931,20.54000092,20.34000015,20.31999969,20.39999962,20.31999969,20.40999985,20.45000076,20.35000038,20.37999916,20.27000046,20.17000008,19.94000053,19.72999954,19.59000015,22.96999931,26.77000046,30.29999924,29.78000069,30.42000008,30.27000046,30,29.82999992,29.46999931,29.04999924,28.81999969
"Unemployment, female (% of female labor force) (national estimate)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.29999924,23,..,30.73999977,..,..,..,..,..,..,..,..
"Unemployment, male (% of male labor force) (modeled ILO estimate)",Sudan,..,13.46000004,13.51000023,13.65999985,13.64999962,13.55000019,13.56000042,13.55000019,13.51000023,13.63000011,13.52999973,13.47000027,13.59000015,13.56999969,13.5,13.38000011,13.15999985,12.97000027,12.89000034,8.989999771,10.47000027,12.19999981,12.39000034,12.10000038,11.96000004,11.90999985,11.78999996,11.65999985,11.56000042,11.43999958
"Unemployment, male (% of male labor force) (national estimate)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.69999981,9,..,12.36999989,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",Sudan,..,15.11999989,15.22000027,15.39000034,15.43999958,15.43999958,15.43999958,15.43000031,15.43000031,15.48999977,15.44999981,15.40999985,15.47999954,15.47999954,15.39999962,15.27999973,15.06999969,14.88000011,14.80000019,13,15.17000008,17.44000053,17.45000076,17.46999931,17.36000061,17.29000092,17.19000053,17.02000046,16.87000084,16.76000023
"Unemployment, total (% of total labor force) (national estimate)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.80000019,13,..,17.44000053,..,..,..,..,..,..,..,..
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",Sudan,..,28.63999939,28.76000023,28.85000038,28.90999985,28.97999954,28.79000092,28.87000084,29.07999992,29.14999962,29.32999992,29.54000092,29.62000084,29.76000023,29.77000046,29.73999977,29.56999969,29.42000008,29.37000084,33.09000015,38.41999817,43.54000092,42.91999817,43.72999954,43.86000061,43.68000031,43.56000137,43.22999954,42.81000137,42.61999893
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.52000046,..,..,..,..,..,..,..,..
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",Sudan,..,26.45999908,26.72999954,27.11000061,27.26000023,27.32999992,27.51000023,27.52000046,27.55999947,27.79999924,27.70999908,27.75,28.02000046,28.05999947,28.01000023,27.87000084,27.60000038,27.34000015,27.25,20.57999992,23.76000023,27.27000046,27.42000008,27.15999985,27.14999962,27.13999939,27.03000069,26.87000084,26.77000046,26.67000008
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.38999939,..,..,..,..,..,..,..,..
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Sudan,..,27.12000084,27.37000084,27.68000031,27.81999969,27.92000008,27.97999954,28.01000023,28.11000061,28.28000069,28.29000092,28.37999916,28.57999992,28.65999985,28.62000084,28.51000023,28.28000069,28.04999924,27.96999931,24.80999947,28.67000008,32.66999817,32.56999969,32.68000031,32.72999954,32.68000031,32.59000015,32.40000153,32.22000122,32.11999893
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.59999847,..,..,..,..,..,..,..,..
Access to electricity (% of population),Tanzania,..,..,6.8,4.166660786,4.935978889,5.707093239,9.4,7.257106781,8.03635788,8,9.587760925,10.35097408,11.09990215,11.1,11.4,13.2189579,13.88478088,14.54607964,11.5,11.2,14.8,14.2,15.3,16.4,23.5,26.52727509,32.8,32.73287201,35.55897903,..
"Children in employment, total (% of children ages 7-14)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,40.35215932,..,..,..,..,31.1,..,..,..,..,29.4,..,..,34.73484,..,..,..,..,..
"Children out of school, primary",Tanzania,2296785,2404931,2481287,2607013,2757719,2844419,2914465,2965410,3069521,3115400,2955790,2732287,1798614,1256066,965078,645664,226064,..,69235,..,604441,..,1100928,1370468,1580287,..,1563643,1611822,1895125,1434649
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,5.986470222,..,..,..,..,..,..,..,..,..,11.02659988,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.555639982,..,..,..,..,..,..,..
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,0.9303900003,..,..,..,..,..,..,..,..,..,1.928359985,..,..,..,..,..,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,1.622879982,..,..,..,..,..,..,..,..,..,3.395960093,..,..,..,..,..,..,..
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in agriculture (% of total employment) (modeled ILO estimate),Tanzania,..,84.66999817,84.65000153,84.62000275,84.56999969,84.47000122,84.30999756,84.12999725,83.84999847,83.45999908,82.98999786,82.29000092,80.59999847,78.76999664,76.75,74.55000305,72.18000031,71.75,71.33000183,70.90000153,70.38999939,69.76999664,69.30000305,68.69000244,68.05000305,67.48000336,66.86000061,66.23000336,65.66999817,65.08999634
Employment in industry (% of total employment) (modeled ILO estimate),Tanzania,..,2.650000095,2.640000105,2.630000114,2.619999886,2.619999886,2.630000114,2.640000105,2.680000067,2.74000001,2.829999924,2.960000038,3.319999933,3.75999999,4.260000229,4.840000153,5.489999771,5.559999943,5.630000114,5.71999979,5.809999943,5.920000076,6.019999981,6.130000114,6.25,6.289999962,6.340000153,6.380000114,6.429999828,6.46999979
Employment in services (% of total employment) (modeled ILO estimate),Tanzania,..,12.68000031,12.71000004,12.75,12.80000019,12.90999985,13.06999969,13.22999954,13.47000027,13.80000019,14.18000031,14.75,16.07999992,17.46999931,18.98999977,20.62000084,22.32999992,22.70000076,23.04000092,23.38999939,23.80999947,24.30999947,24.68000031,25.19000053,25.70000076,26.22999954,26.79999924,27.38999939,27.89999962,28.44000053
GDP growth (annual %),Tanzania,7.045071644,2.071988211,0.5843221341,1.205800808,1.567661766,3.569911868,4.544366802,3.525278191,3.708511596,4.863863755,4.520784635,6.070808288,7.093194984,6.672789829,7.50381466,7.476319258,6.53222139,6.768535202,5.68641686,5.269105248,6.336523427,7.672155435,4.50015356,6.781585601,6.732461868,6.160628774,6.867116196,6.785680114,5.444967632,..
Informal employment (% of total non-agricultural employment),Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.80000305,..,..,..,..,..
"Informal employment, female (% of total non-agricultural employment)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.13999939,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,69.43090057,..,..,..,..,..,..,..,67.80069733,..,78.10059357,..,..,77.88722992,..,..,..,..
"Literacy rate, youth total (% of people ages 15-24)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,78.3960495,..,..,..,..,..,..,..,74.56051636,..,85.94000244,..,..,85.75514221,..,..,..,..
"Lower secondary completion rate, total (% of relevant age group)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,6.423989773,7.20194006,7.523940086,9.139439583,..,..,14.23196983,21.22431946,..,..,40.44018173,36.22330093,..,..,30.80283928,..,29.56954002,..
"Over-age students, primary (% of enrollment)",Tanzania,26.2066,27.64379,26.92444,28.27595,28.91496,28.5379,27.56771,27.10437,25.70139,25.8224,22.15701,22.15699,18.17321,14.75427,14.75427,13.54307,11.06424,..,11.73077,..,7.88724,..,4.86874,5.42314,..,..,0,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,12.14999962,..,..,..,9.010000229,9.010000229,..,..,..,..,..,..,..,14.93000031,..,..,..,..,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",Tanzania,..,4.380000114,4.320000172,4.260000229,4.110000134,3.920000076,3.720000029,3.529999971,3.410000086,3.289999962,3.109999895,2.960000038,3.309999943,3.640000105,3.980000019,4.269999981,4.480000019,3.75,3.109999895,2.75999999,3.5,4.329999924,4.03000021,3.799999952,2.710000038,2.670000076,2.640000105,2.579999924,2.549999952,2.5
"Unemployment, female (% of female labor force) (national estimate)",Tanzania,..,4.300000191,..,..,..,..,..,..,..,..,..,2.960000038,2.400000095,..,..,..,4.420000076,..,..,2.700000048,..,4.289999962,..,3.789999962,2.690000057,..,..,..,..,..
"Unemployment, male (% of male labor force) (modeled ILO estimate)",Tanzania,..,2.849999905,2.849999905,2.940000057,2.980000019,3,3.049999952,3.069999933,3.029999971,3.059999943,3.049999952,3.029999971,2.920000076,2.779999971,2.569999933,2.359999895,2.130000114,2.099999905,2.130000114,2.25,2.480000019,2.650000095,2.400000095,2.109999895,1.580000043,1.580000043,1.549999952,1.519999981,1.470000029,1.460000038
"Unemployment, male (% of male labor force) (national estimate)",Tanzania,..,2.799999952,..,..,..,..,..,..,..,..,..,3.029999971,4.699999809,..,..,..,2.099999905,..,..,2.200000048,..,2.619999886,..,2.099999905,1.570000052,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",Tanzania,..,3.599999905,3.579999924,3.589999914,3.529999971,3.450000048,3.380000114,3.289999962,3.220000029,3.170000076,3.079999924,2.99000001,3.109999895,3.210000038,3.269999981,3.309999943,3.299999952,2.920000076,2.609999895,2.5,2.980000019,3.470000029,3.190000057,2.930000067,2.130000114,2.099999905,2.079999924,2.029999971,1.99000001,1.960000038
"Unemployment, total (% of total labor force) (national estimate)",Tanzania,..,3.599999905,..,..,..,..,..,..,..,..,..,2.99000001,3.599999905,..,..,..,3.299999952,..,..,2.5,..,3.470000029,..,2.930000067,2.119999886,..,..,..,..,..
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",Tanzania,..,7.269999981,7.139999866,7.03000021,6.809999943,6.53000021,6.230000019,5.949999809,5.760000229,5.579999924,5.300000191,5.079999924,5.559999943,6.03000021,6.510000229,6.949999809,7.289999962,6.260000229,5.340000153,4.869999886,6.25,7.849999905,7.309999943,6.880000114,4.489999771,4.420000076,4.380000114,4.309999943,4.260000229,4.190000057
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,5.170000076,..,..,..,..,7.389999866,..,..,..,..,7.96999979,..,7.199999809,4.630000114,..,..,..,..,..
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",Tanzania,..,5.440000057,5.400000095,5.519999981,5.579999924,5.639999866,5.710000038,5.71999979,5.659999847,5.710000038,5.690000057,5.650000095,5.670000076,5.590000153,5.389999866,5.170000076,4.849999905,4.730000019,4.710000038,4.860000134,5.329999924,5.690000057,5.159999847,4.579999924,2.99000001,3,2.970000029,2.920000076,2.859999895,2.829999924
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,5.78000021,..,..,..,..,5.420000076,..,..,..,..,5.809999943,..,4.510000229,3.140000105,..,..,..,..,..
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Tanzania,..,6.340000153,6.25,6.260000229,6.179999828,6.070000172,5.96999979,5.829999924,5.710000038,5.639999866,5.5,5.369999886,5.610000134,5.809999943,5.949999809,6.050000191,6.059999943,5.489999771,5.019999981,4.869999886,5.78000021,6.75,6.210000038,5.690000057,3.710000038,3.680000067,3.650000095,3.589999914,3.529999971,3.480000019
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",Tanzania,..,..,..,..,..,..,..,..,..,..,..,5.46999979,..,..,..,..,6.46999979,..,..,..,..,6.920000076,..,5.75,3.890000105,..,..,..,..,..
Access to electricity (% of population),Togo,..,..,..,..,..,..,..,..,15.3,16.110569,16.95623488,19.71039581,21.49111557,23.25308037,24.9918232,26.70554733,27.9,30.09625435,31.79640579,33.51519775,30.79174368,39.7,39.10566711,40.98518372,45.7,45.13739395,47.41503525,48,51.34528351,..
"Children in employment, total (% of children ages 7-14)",Togo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.68966,..,..,..,48.8,..,..,..,35.22590021,..,..,..,..,..
"Children out of school, primary",Togo,229636,218542,..,..,261365,201771,148438,167005,..,88372,99704,77663,73039,73547,66952,65734,59560,89071,82350,..,..,..,..,..,89412,69596,96411,90527,66428,40071
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Togo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Togo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.94421005,..,18.27075005,..,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Togo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.949450016,..,5.439350128,..,..,..,..,..,..,..,..
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Togo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.632200003,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Togo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.901920319,..,9.256910324,..,..,..,..,..,..,..,..
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Togo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Togo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in agriculture (% of total employment) (modeled ILO estimate),Togo,..,50.02000046,50.04999924,50.34999847,49.83000183,49.43999863,49.00999832,48.33000183,48.38000107,48.15000153,48,47.77000046,47.29999924,46.61999893,46.50999832,46.68000031,46.27000046,46.11000061,45.61000061,44.90999985,44.16999817,43.38999939,42.59000015,41.75999832,40.97000122,38.68000031,36.25999832,33.79000092,33.09999847,32.38000107
Employment in industry (% of total employment) (modeled ILO estimate),Togo,..,15.13000011,15.05000019,14.90999985,14.81999969,14.77000046,14.68000031,14.56999969,14.43000031,14.28999996,14.27000046,14.10000038,13.93000031,13.77000046,13.52000046,13.27999973,13.11999989,13.01000023,12.81000042,12.77000046,12.69999981,12.67000008,12.64000034,12.72000027,12.72000027,14.69999981,16.92000008,19.32999992,19.28000069,19.20999908
Employment in services (% of total employment) (modeled ILO estimate),Togo,..,34.86000061,34.90000153,34.74000168,35.34999847,35.79000092,36.31000137,37.09999847,37.18999863,37.56000137,37.72999954,38.13999939,38.77000046,39.61999893,39.97000122,40.04000092,40.61000061,40.88000107,41.59000015,42.31999969,43.11999893,43.93999863,44.77000046,45.52000046,46.31000137,46.61999893,46.81999969,46.88000107,47.63000107,48.40999985
GDP growth (annual %),Togo,-0.2436561357,-0.6999674931,-3.980686816,-15.09582748,14.98241435,7.845832321,8.836211627,14.37737757,-2.299876567,2.481751436,-0.78347961,0.8234387487,3.826622582,6.720171421,-0.9786653361,-4.666299379,2.650132097,-1.175120389,4.062252828,5.537910972,6.099259161,6.398199052,6.543507031,6.112343078,5.920588571,5.742868453,5.559079306,4.357413915,4.931155222,..
Informal employment (% of total non-agricultural employment),Togo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.83999634,..,..,85.33000183,..,..
"Informal employment, female (% of total non-agricultural employment)",Togo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.52999878,..,..,94.33999634,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Togo,..,..,..,..,..,..,..,..,..,..,53.17760086,..,..,..,..,..,56.88837051,..,..,57.09337997,..,60.40993881,..,..,..,63.74562073,..,..,..,..
"Literacy rate, youth total (% of people ages 15-24)",Togo,..,..,..,..,..,..,..,..,..,..,74.43956757,..,..,..,..,..,76.45294189,..,..,81.73599243,..,79.88591003,..,..,..,84.29010773,..,..,..,..
